metric_val,query_id,model
0.6766715629537892,query-0,ance
0.807233546238253,query-1,marqo
0.924301329451995,query-10,marqo+t5
0.7806748576996071,query-11,TCT-ColBERTv2+t5
0.6158619876692331,query-12,bm25+rm3
0.9310555293685151,query-13,bm25
0.8390195430651322,query-14,marqo+t5
0.9728898667872165,query-15,bm25+t5
0.9728898667872165,query-15,bm25+rm3+t5
0.8628213120371193,query-16,TCT-ColBERTv2+t5
0.8628213120371193,query-16,marqo+t5
0.9232884214419976,query-17,TCT-ColBERTv2
0.7897501766975346,query-18,bm25+rm3
0.7000571945298332,query-19,marqo
0.7731540423800914,query-2,bm25+rm3+t5
0.7953497712616563,query-20,ance
0.8428015401363699,query-21,TCT-ColBERTv2+t5
0.7913727083778553,query-22,ance
0.9564621867187436,query-23,marqo+t5
0.8415372624133117,query-24,marqo+t5
0.8051044827174507,query-25,TCT-ColBERTv2+t5
0.8995325186800431,query-26,TCT-ColBERTv2
0.7722622265877669,query-27,bm25+rm3
0.9929694692856222,query-28,bm25+t5
0.9929694692856222,query-28,bm25+rm3+t5
0.8037845488588117,query-29,marqo+t5
0.8885112176287979,query-3,TCT-ColBERTv2
0.7659697786787004,query-30,marqo
0.7906417314173776,query-31,bm25
0.9289904714111865,query-32,bm25+rm3
0.8386040756219083,query-33,marqo+t5
0.895863359683992,query-34,ance+t5
0.895863359683992,query-34,TCT-ColBERTv2+t5
0.895863359683992,query-34,marqo+t5
1.0,query-35,marqo+t5
0.6568920155743984,query-36,TCT-ColBERTv2
0.767777476694906,query-37,bm25+t5
0.767777476694906,query-37,bm25+rm3+t5
0.9315076448508441,query-38,bm25+rm3+t5
0.9315076448508441,query-38,bm25+t5
0.8192315749996032,query-39,ance+t5
0.8399567714070088,query-4,bm25
0.996999330656715,query-40,marqo+t5
0.996999330656715,query-40,TCT-ColBERTv2+t5
0.9840994462124865,query-41,marqo+t5
0.9840994462124865,query-41,TCT-ColBERTv2+t5
0.9840994462124865,query-41,ance+t5
0.8821057710372655,query-42,TCT-ColBERTv2
0.8793133670370037,query-43,bm25+rm3
0.674457113936163,query-44,TCT-ColBERTv2
0.6360046317812987,query-45,ance
0.8863704478685775,query-46,bm25+t5
0.8863704478685775,query-46,bm25+rm3+t5
0.8324736808110534,query-47,marqo+t5
0.8324736808110534,query-47,TCT-ColBERTv2+t5
0.8162707399704855,query-48,marqo
0.7945360222069623,query-49,marqo+t5
0.9384248476095421,query-5,ance+t5
0.9483646750930305,query-50,ance+t5
0.9483646750930305,query-50,TCT-ColBERTv2+t5
0.7564571123837768,query-51,bm25+t5
0.7564571123837768,query-51,bm25+rm3+t5
0.6467397196642138,query-52,TCT-ColBERTv2+t5
0.7124535544355918,query-53,bm25+rm3
0.8448050406972161,query-54,bm25+t5
0.8789754208328577,query-55,marqo+t5
0.8706944640859842,query-56,marqo+t5
0.7302654264559224,query-57,marqo
0.8366703368950541,query-58,bm25+rm3
0.8327736363898479,query-59,bm25+rm3+t5
0.9040103497751802,query-6,bm25
0.7134406246930383,query-60,bm25+rm3
0.8192437245758623,query-61,TCT-ColBERTv2
0.7834497914053647,query-62,ance
0.9384184830484639,query-63,TCT-ColBERTv2
0.8258477058988594,query-64,TCT-ColBERTv2+t5
0.955600630254472,query-65,bm25+rm3+t5
0.955600630254472,query-65,bm25+t5
0.7271315676435365,query-66,TCT-ColBERTv2
0.9112970427443114,query-67,TCT-ColBERTv2
0.8846800820870465,query-68,marqo+t5
0.7859999015259646,query-69,ance
0.7919881425486945,query-7,ance+t5
0.8056866609750505,query-70,TCT-ColBERTv2
0.9260852545422736,query-71,TCT-ColBERTv2+t5
0.8985759145742952,query-72,bm25+t5
0.8985759145742952,query-72,bm25+rm3+t5
0.8062808168990253,query-73,ance+t5
0.7849818707050383,query-74,ance
0.7196375604040263,query-75,ance
0.7459108438352448,query-76,marqo+t5
0.6714956515758348,query-77,TCT-ColBERTv2+t5
0.5997945643676391,query-78,bm25
0.891071387370667,query-79,TCT-ColBERTv2+t5
0.7647692186268366,query-8,bm25
0.8931811127024312,query-80,ance
0.7778408917508127,query-81,ance
0.8887907867759374,query-82,bm25+rm3+t5
0.8887907867759374,query-82,bm25+t5
0.7155698177147839,query-83,bm25+rm3+t5
0.9310555293685151,query-84,bm25
0.8327383581940936,query-85,ance+t5
0.8327383581940936,query-85,TCT-ColBERTv2+t5
0.9132328642509749,query-86,ance
0.6855171784064025,query-87,marqo
0.7768368232596992,query-88,marqo
0.7367261827171065,query-89,bm25+rm3+t5
0.6054165486813645,query-9,TCT-ColBERTv2+t5
0.9332175585617681,query-90,TCT-ColBERTv2
0.8027641604507135,query-91,TCT-ColBERTv2
0.9004084894952181,query-92,ance
0.918849172101483,query-93,TCT-ColBERTv2+t5
0.7929938846926122,query-94,marqo+t5
0.891047135600768,query-95,marqo+t5
0.7210139378687457,query-96,marqo+t5
0.9445120918613279,query-97,TCT-ColBERTv2
0.84805619787363,query-98,marqo+t5
0.9031011939255816,query-99,bm25+rm3+t5
