metric_val,query_id,model
0.42105263157894735,query-0,marqo+t5
0.6060606060606061,query-1,marqo+t5
0.45,query-2,marqo+t5
0.8,query-3,marqo+t5
0.2692307692307692,query-4,marqo+t5
0.7058823529411765,query-5,marqo+t5
0.7777777777777778,query-6,marqo+t5
0.875,query-7,marqo+t5
0.9,query-8,marqo+t5
0.25,query-9,marqo+t5
0.42105263157894735,query-10,marqo+t5
0.47368421052631576,query-11,marqo+t5
0.3076923076923077,query-12,marqo+t5
0.7333333333333333,query-13,marqo+t5
0.8666666666666667,query-14,marqo+t5
0.8333333333333334,query-15,marqo+t5
0.7777777777777778,query-16,marqo+t5
0.6666666666666666,query-17,marqo+t5
0.5555555555555556,query-18,marqo+t5
0.875,query-19,marqo+t5
1.0,query-20,marqo+t5
1.0,query-21,marqo+t5
1.0,query-22,marqo+t5
1.0,query-23,marqo+t5
1.0,query-24,marqo+t5
0.8888888888888888,query-25,marqo+t5
0.9,query-26,marqo+t5
0.6363636363636364,query-27,marqo+t5
1.0,query-28,marqo+t5
0.6470588235294118,query-29,marqo+t5
0.75,query-30,marqo+t5
0.6666666666666666,query-31,marqo+t5
0.6388888888888888,query-32,marqo+t5
0.7647058823529411,query-33,marqo+t5
0.7391304347826086,query-34,marqo+t5
0.6818181818181818,query-35,marqo+t5
0.75,query-36,marqo+t5
0.5882352941176471,query-37,marqo+t5
0.13043478260869565,query-38,marqo+t5
0.5714285714285714,query-39,marqo+t5
0.9411764705882353,query-40,marqo+t5
1.0,query-41,marqo+t5
1.0,query-42,marqo+t5
0.6666666666666666,query-43,marqo+t5
0.5,query-44,marqo+t5
0.45454545454545453,query-45,marqo+t5
1.0,query-46,marqo+t5
0.8333333333333334,query-47,marqo+t5
0.8947368421052632,query-48,marqo+t5
0.8,query-49,marqo+t5
0.8947368421052632,query-50,marqo+t5
0.8181818181818182,query-51,marqo+t5
0.7272727272727273,query-52,marqo+t5
0.45,query-53,marqo+t5
0.9285714285714286,query-54,marqo+t5
0.8666666666666667,query-55,marqo+t5
1.0,query-56,marqo+t5
0.6666666666666666,query-57,marqo+t5
0.5789473684210527,query-58,marqo+t5
0.625,query-59,marqo+t5
1.0,query-60,marqo+t5
1.0,query-61,marqo+t5
0.8181818181818182,query-62,marqo+t5
1.0,query-63,marqo+t5
0.6363636363636364,query-64,marqo+t5
1.0,query-65,marqo+t5
0.625,query-66,marqo+t5
0.9166666666666666,query-67,marqo+t5
0.875,query-68,marqo+t5
0.48,query-69,marqo+t5
0.6666666666666666,query-70,marqo+t5
0.95,query-71,marqo+t5
0.875,query-72,marqo+t5
